Town/County,Year,Industry Name,Measure Type,Value
Litchfield County,2014,All Industries,US Dollars,43302
Litchfield County,2014,Local/Municipal Government,US Dollars,49156
Litchfield County,2014,Construction,US Dollars,57514
Litchfield County,2014,Manufacturing,US Dollars,56903
Litchfield County,2014,Retail Trade,US Dollars,31276
Litchfield County,2014,Health Care And Social Assistance,US Dollars,41826
Litchfield County,2014,Accommodation And Food Services,US Dollars,17805
Lyme,2014,Local/Municipal Government,US Dollars,28820.765625
Lyme,2014,Construction,US Dollars,55621.339168
Lyme,2014,Manufacturing,US Dollars,-9999
Lyme,2014,Retail Trade,US Dollars,46712.293515
Lyme,2014,Health Care & Social Assistance,US Dollars,51660.101266
Lyme,2014,Other Services (Except Public Admin),US Dollars,27624
Madison,2014,Local/Municipal Government,US Dollars,50891.055508
Madison,2014,Construction,US Dollars,40830.425339
Madison,2014,Manufacturing,US Dollars,51548.073606
Madison,2014,Retail Trade,US Dollars,30925.380571
Madison,2014,Health Care & Social Assistance,US Dollars,35027.832565
Madison,2014,Accommodation And Food Services,US Dollars,19351.602723
Manchester,2014,Local/Municipal Government,US Dollars,53484.551512
Manchester,2014,Construction,US Dollars,57354.576527
Manchester,2014,Manufacturing,US Dollars,67883.756538
Manchester,2014,Retail Trade,US Dollars,28412.839836
Manchester,2014,Health Care & Social Assistance,US Dollars,52207.701112
Manchester,2014,Accommodation And Food Services,US Dollars,17169.070666
Mansfield,2014,State Government,US Dollars,62969.10144
Mansfield,2014,Construction,US Dollars,73834.644211
Mansfield,2014,Manufacturing,US Dollars,52170.71134
Mansfield,2014,Retail Trade,US Dollars,21067.352488
Mansfield,2014,Health Care & Social Assistance,US Dollars,45773.955683
Mansfield,2014,Accommodation And Food Services,US Dollars,20971.804563
Marlborough,2014,Local/Municipal Government,US Dollars,48199.594481
Marlborough,2014,Construction,US Dollars,41732.065253
Marlborough,2014,Manufacturing,US Dollars,60170.103896
Marlborough,2014,Retail Trade,US Dollars,15520.523364
Marlborough,2014,Health Care & Social Assistance,US Dollars,44294.401745
